trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.4, 'e': 0.44932896411722156}",20,11,-340.3801039273812,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.4, 'e': 0.44753523810441237}",25,9,34.420751088456285,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.4, 'e': 0.4457486726649602}",20,9,22.38047781384359,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.4, 'e': 0.44396923921378006}",20,13,-48.33017011743357,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
205,False,"{'a': 0.4, 'e': 0.44219690927989863}",20,3,-22.449844956519314,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
206,False,"{'a': 0.4, 'e': 0.44043165450599925}",25,15,-34.62165727991987,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
207,False,"{'a': 0.4, 'e': 0.4386734466479678}",35,27,25.538589884364654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.4, 'e': 0.43692225757444114}",25,0,-317.9767266983093,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
209,False,"{'a': 0.4, 'e': 0.43517805926635666}",35,4,-340.0276705367509,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 1}",1
210,False,"{'a': 0.4, 'e': 0.43344082381650434}",20,15,4.379366235113631,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.4, 'e': 0.43171052342907973}",20,0,-386.56849434760926,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
212,False,"{'a': 0.4, 'e': 0.4299871304192398}",20,0,7.734717935889834,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
213,False,"{'a': 0.4, 'e': 0.4282706172126597}",25,13,7.818251404959797,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.4, 'e': 0.4265609563450914}",25,0,10.303073645157939,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
215,False,"{'a': 0.4, 'e': 0.4248581204619246}",35,22,32.893321742143314,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.4, 'e': 0.4231620823177488}",20,13,17.126049891644836,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.4, 'e': 0.42147281477591764}",20,15,-337.14440583408003,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.4, 'e': 0.41979029080811425}",20,0,-1.8658652723512423,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
219,False,"{'a': 0.4, 'e': 0.41811448349391933}",25,0,-98.61886637642667,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
220,False,"{'a': 0.4, 'e': 0.4164453660203801}",30,16,29.586542126064906,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.4, 'e': 0.4147829116815814}",25,0,-67.94631707021892,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
222,False,"{'a': 0.4, 'e': 0.4131270938782183}",20,11,13.19529554002072,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.4, 'e': 0.41147788611717057}",20,11,7.179849904507069,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.4, 'e': 0.40983526201107895}",25,18,17.86982182688662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.4, 'e': 0.4081991952779227}",30,10,26.261437398379176,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.4, 'e': 0.4065696597405991}",20,0,21.960939390205283,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
227,False,"{'a': 0.4, 'e': 0.4049466293265049}",20,0,-353.60054847335925,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
228,False,"{'a': 0.4, 'e': 0.40333007806711874}",25,0,-670.4587993343362,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
229,False,"{'a': 0.4, 'e': 0.401719980097586}",25,19,9.43065273377397,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.4, 'e': 0.40011630965630496}",20,13,3.2739643201405935,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.4, 'e': 0.3985190410845142}",20,12,23.02476913082625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.4, 'e': 0.3969281488258825}",20,7,-17.254120657295967,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
233,False,"{'a': 0.4, 'e': 0.3953436074260998}",20,6,-338.97656635921794,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
234,False,"{'a': 0.4, 'e': 0.39376539153247}",25,13,34.867893292192704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.4, 'e': 0.392193475893505}",35,13,-35.469914526793126,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
236,False,"{'a': 0.4, 'e': 0.3906278353585211}",20,10,16.48528564888125,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.4, 'e': 0.38906844487723635}",20,4,-83.62033462025619,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
238,False,"{'a': 0.4, 'e': 0.38751527949936976}",25,16,26.816574376198247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.4, 'e': 0.3859683143742421}",35,20,10.518650764162759,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.4, 'e': 0.3844275247503785}",25,16,28.978589842006095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
